,timestamp,agent_num,mean_q_loss,mean_exp_return
4644,1739120771,0,tensor(1.4091),60.044716
4645,1739120771,1,tensor(1.4775),134.75154
4646,1739120771,2,tensor(1.8854),104.79631
4647,1739120772,0,tensor(2.5323),75.65446
4648,1739120772,1,tensor(2.3039),85.43198
4649,1739120773,2,tensor(2.3093),76.36779
4650,1739120773,0,tensor(0.5859),80.511375
4651,1739120773,1,tensor(0.6217),86.658325
4652,1739120774,2,tensor(0.6362),64.21331
4653,1739120774,0,tensor(1.4122),80.170906
4654,1739120774,1,tensor(1.3482),85.32531
4655,1739120774,2,tensor(1.4193),80.871994
4656,1739120775,0,tensor(1.2055),54.5779
4657,1739120775,1,tensor(1.3370),87.90368
4658,1739120775,2,tensor(1.2581),95.672325
4659,1739120776,0,tensor(1.5861),85.12459
4660,1739120776,1,tensor(2.5513),50.3759
4661,1739120776,2,tensor(1.3744),90.62549
4662,1739120777,0,tensor(1.7325),76.02218
4663,1739120777,1,tensor(1.4982),84.14342
4664,1739120777,2,tensor(1.4254),68.791824
4665,1739120777,0,tensor(2.2177),120.58449
4666,1739120778,1,tensor(1.1692),85.89535
4667,1739120778,2,tensor(2.6822),66.46188
4668,1739120778,0,tensor(0.3895),95.2227
4669,1739120778,1,tensor(0.6511),101.729454
4670,1739120779,2,tensor(0.6919),76.624886
4671,1739120779,0,tensor(1.8267),69.91122
4672,1739120779,1,tensor(1.5070),63.068356
4673,1739120779,2,tensor(1.5271),89.55261
4674,1739120780,0,tensor(1.7583),94.020065
4675,1739120780,1,tensor(1.6465),80.97739
4676,1739120780,2,tensor(1.8205),77.930626
4677,1739120781,0,tensor(0.7263),112.49379
4678,1739120781,1,tensor(0.7672),90.88852
4679,1739120781,2,tensor(1.6694),82.026825
4680,1739120782,0,tensor(2.3377),59.13762
4681,1739120782,1,tensor(1.2283),73.08408
4682,1739120782,2,tensor(1.1296),85.64253
4683,1739120782,0,tensor(2.6836),72.027374
4684,1739120783,1,tensor(2.5750),99.80411
4685,1739120783,2,tensor(1.1122),82.776215
4686,1739120783,0,tensor(1.5714),111.27475
4687,1739120783,1,tensor(0.9833),112.15017
4688,1739120784,2,tensor(0.5169),74.14529
4689,1739120784,0,tensor(1.6559),59.622803
4690,1739120784,1,tensor(1.3650),53.584797
4691,1739120785,2,tensor(1.4649),46.04213
4692,1739120785,0,tensor(1.7789),108.331436
4693,1739120785,1,tensor(1.6966),39.33716
4694,1739120785,2,tensor(2.4552),73.2888
4695,1739120786,0,tensor(2.0935),107.06293
4696,1739120786,1,tensor(2.4618),55.451714
4697,1739120786,2,tensor(1.8921),28.131042
4698,1739120787,0,tensor(0.4953),80.57294
4699,1739120787,1,tensor(1.0228),79.21266
4700,1739120787,2,tensor(0.4629),146.68384
4701,1739120788,0,tensor(0.7735),52.297806
4702,1739120788,1,tensor(0.7657),40.47066
4703,1739120788,2,tensor(0.8079),69.43254
4704,1739120788,0,tensor(1.8973),113.09256
4705,1739120789,1,tensor(1.6776),50.24898
4706,1739120789,2,tensor(1.8101),93.952675
4707,1739120789,0,tensor(1.7893),47.84298
4708,1739120789,1,tensor(3.8740),53.08204
4709,1739120790,2,tensor(1.7340),109.26007
4710,1739120790,0,tensor(0.7370),56.249672
4711,1739120790,1,tensor(0.4514),72.522064
4712,1739120790,2,tensor(1.0537),75.89032
4713,1739120791,0,tensor(0.8049),78.41011
4714,1739120791,1,tensor(1.2975),57.34944
4715,1739120791,2,tensor(1.0059),88.88646
4716,1739120792,0,tensor(1.3088),89.01337
4717,1739120792,1,tensor(1.3936),89.25693
4718,1739120792,2,tensor(1.6672),78.43638
4719,1739120793,0,tensor(0.9770),90.39846
4720,1739120793,1,tensor(0.7975),117.10515
4721,1739120793,2,tensor(1.1727),48.860897
4722,1739120793,0,tensor(0.5231),105.57329
4723,1739120794,1,tensor(1.1327),114.78821
4724,1739120794,2,tensor(0.7078),65.19653
4725,1739120794,0,tensor(2.0487),122.065315
4726,1739120794,1,tensor(1.7022),66.812
4727,1739120795,2,tensor(1.2148),91.091286
4728,1739120795,0,tensor(1.5494),99.82012
4729,1739120795,1,tensor(1.3213),94.21013
4730,1739120795,2,tensor(3.4197),81.171425
4731,1739120796,0,tensor(2.0672),68.81075
4732,1739120796,1,tensor(3.6483),70.16245
4733,1739120796,2,tensor(3.1250),30.941647
4734,1739120797,0,tensor(1.6538),102.91767
4735,1739120797,1,tensor(2.3443),77.64488
4736,1739120797,2,tensor(1.0908),53.399094
4737,1739120798,0,tensor(0.6532),121.48038
4738,1739120798,1,tensor(0.5910),65.94787
4739,1739120798,2,tensor(0.9885),123.304016
4740,1739120798,0,tensor(0.7488),101.22177
4741,1739120799,1,tensor(0.7450),62.685555
4742,1739120799,2,tensor(1.4145),86.42842
4743,1739120799,0,tensor(3.0600),106.2448
4744,1739120799,1,tensor(1.5486),100.385086
4745,1739120800,2,tensor(1.1617),67.860275
4746,1739120800,0,tensor(2.6794),76.57583
4747,1739120800,1,tensor(3.3656),78.569695
4748,1739120801,2,tensor(1.6836),79.64307
4749,1739120801,0,tensor(1.5989),35.7109
4750,1739120801,1,tensor(1.4595),104.45094
4751,1739120801,2,tensor(2.6912),70.871475
4752,1739120802,0,tensor(1.5738),112.42392
4753,1739120802,1,tensor(2.0280),98.79129
4754,1739120802,2,tensor(0.9480),58.80329
4755,1739120803,0,tensor(1.4620),48.309925
4756,1739120803,1,tensor(3.0141),82.85771
4757,1739120803,2,tensor(1.2238),51.75801
4758,1739120804,0,tensor(2.0515),95.69808
4759,1739120804,1,tensor(0.5114),80.84071
4760,1739120804,2,tensor(0.7015),56.510563
4761,1739120804,0,tensor(1.7143),54.605835
4762,1739120805,1,tensor(1.7710),93.17556
4763,1739120805,2,tensor(1.9512),93.20064
4764,1739120806,0,tensor(1.3894),100.29421
4765,1739120806,1,tensor(1.9501),85.99197
4766,1739120806,2,tensor(1.8535),63.82896
4767,1739120807,0,tensor(1.0341),128.0773
4768,1739120807,1,tensor(1.1705),75.272316
4769,1739120807,2,tensor(1.9158),56.559494
4770,1739120808,0,tensor(2.1718),77.41791
4771,1739120808,1,tensor(2.5931),124.99711
4772,1739120808,2,tensor(2.0886),87.411415
4773,1739120809,0,tensor(0.2924),104.25165
4774,1739120809,1,tensor(0.2865),93.57397
4775,1739120809,2,tensor(1.0604),136.98332
4776,1739120809,0,tensor(0.9329),136.03621
4777,1739120810,1,tensor(0.9445),86.09444
4778,1739120810,2,tensor(1.4624),45.978916
4779,1739120810,0,tensor(0.5111),70.80224
4780,1739120811,1,tensor(0.7592),81.98942
