,step,agent_num,mean_q_loss,mean_exp_return
267,99,0,1.6737844,10.33142
268,99,1,3.595749,13.071817
269,99,2,11.131693,11.736053
270,100,0,8.352222,9.284838
271,100,1,2.9099689,8.794202
272,100,2,19.161522,13.307858
273,101,0,2.0888884,12.582778
274,101,1,5.453787,13.889734
275,101,2,7.260391,9.687054
276,102,0,2.261177,10.3882065
277,102,1,2.8567927,12.260465
278,102,2,3.5254235,10.823119
279,103,0,7.2579017,10.54648
280,103,1,3.4197676,11.287016
281,103,2,6.982579,10.871258
282,104,0,4.8108606,11.023973
283,104,1,4.47493,9.877566
284,104,2,4.8398476,11.002267
285,105,0,10.84256,12.631138
286,105,1,2.9713035,15.053013
287,105,2,2.4458137,9.423022
288,106,0,4.1128407,10.883387
289,106,1,6.676957,9.990288
290,106,2,3.6246428,10.449426
291,107,0,5.5949078,10.053408
292,107,1,14.656922,10.935899
293,107,2,4.3574114,12.191788
294,108,0,3.313441,10.500093
295,108,1,2.0572076,10.26625
296,108,2,3.800313,7.841736
297,109,0,2.8718114,10.621911
298,109,1,4.1531444,10.44861
299,109,2,40.087597,13.537413
300,110,0,4.886281,9.849675
301,110,1,5.397888,11.551364
302,110,2,3.9267905,14.410984
303,111,0,5.6248326,11.928104
304,111,1,4.392029,13.240505
305,111,2,8.236313,11.08915
306,112,0,9.557591,9.748679
307,112,1,8.480559,10.523729
308,112,2,4.1154814,11.267178
309,113,0,4.17078,12.39579
310,113,1,4.4777155,13.439384
311,113,2,5.9051104,11.379212
312,114,0,5.513801,12.503672
313,114,1,12.133314,9.007306
314,114,2,3.403748,13.190881
315,115,0,3.6722941,8.687902
316,115,1,45.128624,10.845803
317,115,2,16.983118,8.092857
318,116,0,5.6089554,12.843301
319,116,1,3.639073,11.008769
320,116,2,3.5020065,12.064181
321,117,0,7.7416024,12.173782
322,117,1,5.2506223,10.599929
323,117,2,2.441903,8.912855
324,118,0,3.3196783,11.01175
325,118,1,6.199258,12.286198
326,118,2,9.8317995,9.481256
327,119,0,3.0961928,13.27894
328,119,1,3.1100683,13.121517
329,119,2,16.859333,8.649796
330,120,0,15.758812,14.950301
331,120,1,2.1179495,13.043266
332,120,2,3.2981994,13.642547
333,121,0,2.888449,14.809521
334,121,1,3.511561,10.840334
335,121,2,3.346764,10.273259
336,122,0,11.229403,18.337688
337,122,1,2.1696334,14.046465
338,122,2,5.6672115,11.635093
339,123,0,3.9586787,17.578737
340,123,1,3.8188977,9.883931
341,123,2,4.834386,13.0136175
342,124,0,2.5515003,13.716319
343,124,1,4.444211,11.224895
344,124,2,4.3083405,14.097896
345,125,0,2.0059032,12.628443
346,125,1,31.51229,8.982697
347,125,2,3.4124007,13.687879
348,126,0,6.9223633,14.905076
349,126,1,5.0061655,11.3421755
350,126,2,4.437585,10.835635
351,127,0,27.662397,14.316319
352,127,1,2.4016814,14.121044
353,127,2,8.951405,15.811886
354,128,0,3.098085,9.706855
355,128,1,2.9552672,11.667598
356,128,2,3.2655368,14.636597
357,129,0,3.208034,7.3122406
358,129,1,5.5092525,14.721342
359,129,2,2.7867897,11.166795
360,130,0,3.11346,11.616464
361,130,1,4.378242,15.372688
362,130,2,11.547157,15.618041
363,131,0,3.1877673,13.182197
364,131,1,8.316848,9.75459
365,131,2,3.097303,10.148622
366,132,0,4.4270782,10.744332
367,132,1,3.497554,11.959433
368,132,2,3.5021453,10.878249
369,133,0,5.5483294,10.832467
370,133,1,5.3977575,12.5632305
371,133,2,7.94015,11.032908
372,134,0,10.754358,10.628459
373,134,1,3.3043537,11.045479
374,134,2,9.828022,8.586546
375,135,0,6.14235,8.520879
376,135,1,9.943322,11.197982
377,135,2,3.1950488,12.466988
378,136,0,28.773819,10.821423
379,136,1,26.665958,14.739034
380,136,2,3.0802405,9.187462
381,137,0,12.838663,9.530564
382,137,1,8.134316,16.75575
383,137,2,5.500401,11.549942
384,138,0,15.224448,11.713112
385,138,1,2.70231,17.041939
386,138,2,9.3234005,10.198665
387,139,0,1.8515294,12.706306
388,139,1,2.2378712,16.71932
389,139,2,3.3865552,10.495595
390,140,0,4.199746,10.394438
391,140,1,3.4662094,14.505061
392,140,2,2.6631708,13.444005
393,141,0,7.252129,13.459737
394,141,1,7.343164,10.578029
395,141,2,2.8050008,8.588285
396,142,0,4.2840104,18.119135
397,142,1,2.4364724,17.967117
398,142,2,3.4484746,12.675901
399,143,0,3.0513115,11.686399
400,143,1,8.221426,13.63421
401,143,2,3.3024745,6.864319
402,144,0,8.3797,16.03008
403,144,1,3.306861,18.678215
404,144,2,4.9835396,13.808124
405,145,0,2.5387716,10.387662
406,145,1,2.5904312,15.778302
407,145,2,4.050892,12.807863
408,146,0,2.3850775,12.008312
409,146,1,2.367128,14.689532
410,146,2,16.436216,10.870443
411,147,0,2.3277276,12.3861475
412,147,1,4.8057,12.557107
413,147,2,3.6706538,14.792875
414,148,0,28.177834,15.437949
415,148,1,5.696392,15.274669
416,148,2,3.9797876,12.299208
417,149,0,7.6249266,12.872026
418,149,1,2.3652291,12.791708
419,149,2,4.1225576,13.25159
420,150,0,6.115369,15.5484705
421,150,1,3.292231,16.970148
422,150,2,7.790759,12.506353
423,151,0,5.017112,13.944175
424,151,1,19.54539,11.872852
425,151,2,4.119641,12.185549
426,152,0,4.7169733,11.715791
427,152,1,3.9304316,12.269825
428,152,2,4.160878,11.65468
429,153,0,3.354022,13.104247
430,153,1,3.3008237,13.783953
431,153,2,10.658561,12.770567
432,154,0,3.2753396,10.514565
433,154,1,7.5252705,12.869012
434,154,2,4.2970643,12.539562
435,155,0,13.456148,13.268492
436,155,1,1.8635991,9.838469
437,155,2,6.8863235,13.679872
438,156,0,22.985865,11.050953
439,156,1,10.68158,9.483931
440,156,2,2.940208,10.680784
441,157,0,7.2338753,9.642616
442,157,1,8.026813,12.431643
443,157,2,11.198025,13.141257
444,158,0,4.996924,13.258597
445,158,1,8.782158,11.359302
446,158,2,2.6199317,12.234459
447,159,0,3.3883598,10.256499
448,159,1,7.189355,9.218371
449,159,2,4.697464,11.361356
450,160,0,2.8137734,12.88179
451,160,1,2.65176,12.399456
452,160,2,2.6715395,14.411966
453,161,0,3.364633,13.965498
454,161,1,5.3232207,7.8480787
455,161,2,2.2484894,10.982428
456,162,0,5.243972,11.481735
457,162,1,29.803467,8.340635
458,162,2,3.3877919,13.3656645
459,163,0,10.121138,14.759851
460,163,1,5.541139,12.564785
461,163,2,3.8748612,12.101232
462,164,0,22.626057,12.444788
463,164,1,8.345619,10.36509
464,164,2,32.0534,15.652732
465,165,0,5.1718082,14.049917
466,165,1,2.2957811,11.737728
467,165,2,3.8952062,13.073874
468,166,0,7.7439966,15.400875
469,166,1,5.104233,13.55992
470,166,2,3.56495,13.541708
471,167,0,3.4733052,13.7279415
472,167,1,7.190667,14.927809
473,167,2,9.974089,15.016108
474,168,0,3.0060306,15.313553
475,168,1,6.4347258,15.308953
476,168,2,2.7876704,14.698191
477,169,0,3.0455928,11.111656
